"Ref","Value","Qty","Name","Description","Package","Datasheet","Vendor"
"C1","470uF",1,"C_Polarized","Polarized capacitor","16V, 10mm Dia.","~",""
"D1, D2, D3, D4, D5","L-934F3C",5,"LED","Light emitting diode","T-1 (3mm)","https://www.farnell.com/datasheets/1683588.pdf",""
"D6, D7","LED",2,"LED","Light emitting diode","T-1 (3mm)","~",""
"H1, H2","MountingHole",2,"MountingHole","Mounting Hole without connection","M3 clearance, 3.2mm","~",""
"J1","SENSORS",1,"CONN_14LOCK_LONGPADS","","14 pin 0.1"" header","",""
"Q1, Q2","BC337",2,"BC337","0.8A Ic, 45V Vce, Small Signal NPN Transistor, TO-92","TO92","https://www.onsemi.com/pdf/datasheet/bc337-d.pdf",""
"Q3, Q4, Q5, Q6, Q7, Q8","BPW85C",6,"BPW85C","Phototransistor NPN","T-1 (3mm)","https://www.vishay.com/docs/81531/bpw85a.pdf",""
"R1","33R",1,"R","Resistor","¼ Watt, 0.3""","~",""
"R2, R3, R4, R5, R6","68R",5,"R","Resistor","¼ Watt, 0.3""","~",""
"R7, R9","390",2,"R","Resistor","¼ Watt, 0.3""","~",""
"R8, R10","10k",2,"R","Resistor","¼ Watt, 0.3""","~",""
"R11, R12, R13, R14, R15, R16, R26, R27","2k0",8,"R","Resistor","¼ Watt, 0.3""","~",""
""
"# Date:  Fri 02 Sep 2022 01:25:27 BST"
"# Tool:  Eeschema 6.0.7-f9a2dced07~116~ubuntu22.04.1"
