"Ref","Value","Qty","Note","Package","Vendor","Datasheet"
"C1, C2","330uF, 16V",2,"","","","~"
"D1, D2, D3, D4","SFH4550",4,"Ultra-bright red alternative but detectors must match","","","~"
"D5","LED",1,"Any small LED","","","~"
"H1, H2","3.2mm",2,"","","","~"
"J1","Conn_01x14",1,"14 way, 0.1"" header chack polarity with mainboard","","","~"
"Q1, Q2, Q3, Q4","TEFT4300",4,"Spectral match to emitters","","","~"
"Q5, Q6","BC337",2,"A MOSFET could be substitutes","","","https://www.onsemi.com/pdf/datasheet/bc337-d.pdf"
"R1, R2, R3, R4","10R",4,"Adjust on test according to emitters used","","","~"
"R5, R6, R7, R8","1k8",4,"Adjust on test according to detectors used","","","~"
"R9, R10","100k",2,"","","","~"
"R11","33",1,"","","","~"
"R12","1k0",1,"","","","~"
"R13, R14","390R",2,"","","","~"
